orth,pron_no_tones
០,0
១,1
២,2
៣,3
៤,4
៥,5
៦,6
៧,7
៨,8
៩,9
។,.
៕,.
៖,:
៚,.
បាន,baan
ការ,kaa
មាន,mien
ជា,cie
នៅ,nɨv
ដែល,dael
ក្នុង,knoŋ
នេះ,nih
ថា,tʰaa
ទៅ,tɨv
ពី,pii
មិន,mɨn
របស់,rɔbɑh
ទី,tii
មក,mɔɔk
ឲ្យ ហួម,huǝm
នោះ,nuh
ហើយ,haǝy
តែ,tae
សម,sɑɑm
លោក,look
ដោយ,daoy
មួយ,muəy
អ្នក,neak
យក,yɔɔk
ថ្ងៃ,tŋay
នឹង,nɨŋ
ខែ,kʰae
ត្រូវ,trəv
ធ្វើ,tvəə
គេ,kee
ក៏,kɑɑ
រប,rɔɔp
ខ្ញុំ,kɲom
ឆ្នាំ,cnam
មន,mɔɔn
រក,rɔɔk
បង,bɑɑŋ
ទេ,tee
តាម,taam
ជន,cɔɔn
គឺ,kɨɨ
ពេល,peel
កម,kɑɑm
សង,sɑɑŋ
បក,bɑɑk
ខ្មែរ,kmae
នក,nɔɔk
ដល់,dɑl
ទាំង,teaŋ
លើ,lǝǝ
បន,bɑɑn
ទៀត,tiət
យើង,yəəŋ
គ្នា,knie
រស,rʊəh
នៃ,ney
ដើម្បី,daəmbəy
ប្រទេស,prɑteeh
អាច,ʔaac
ដែរ,dae
ដឹង,dəŋ
គម,kɔɔm
បើ,baə
រម,rɔɔm
អន,ʔɑɑn
ខ្លួន,kluən
ដាក់,dak
ចូល,cool
រហ,rɔhɑɑ
ចេញ,cəɲ
ដូច,dooc
ណា,naa
តម,tɑɑm
យ៉ាង,yaaŋ
រង,rɔɔŋ
ផង,pʰɑɑŋ
ទទួល,tɔtuəl
ព្រះ,preah
គាត់,koat
ច្រើន,craən
វា,vie
វិញ,vɨɲ
ស្រុក,srok
ឯង,ʔaeŋ
ចំនួន,cɑmnuən
ចង,cɑɑŋ
និយាយ,niʔyiey
ភាព,pʰiep
ឃើញ,kʰəəɲ
ទង,tɔɔŋ
រយ,rɔɔy
ខាង,kʰaaŋ
ច្បាប់,cbap
នូវ,nəv
ពួក,puək
មនុស្ស,mɔnuh
ជាតិ,ciet
ប្រើ,praə
