orth,pron_no_tones,pron_with_tones
໐,0,0
໑,1,1
໒,2,2
໓,3,3
໔,4,4
໕,5,5
໖,6,6
໗,7,7
໘,8,8
໙,9,9
ແລະ,lɛ,lɛ˧
ທີ່,tʰiː,tʰiː˧
ໃນ,naj,naj˧˥
ການ,kaːn,kaːn
ຂອງ,kʰɔːŋ,kʰɔːŋ˩˧
(ບໍ່)ໄດ້...ເທື່ອ,(bɔː)daj...tʰiaː,(bɔː˧)daj˥˨...tʰiaː˧
ມີ,miː,miː˧˥
ຈະ,t͡ɕa,t͡ɕa˧˥
ໃຫ້,haj,haj˧˩
ເປັນ,pen,pen
ລາວ,laːo,laːo˧˥
ປີ,piː,piː
ທ່ານ,tʰaːn,tʰaːn˧
ນີ້,niː,niː˧
ຄົນ,kʰon,kʰon˧˥
ວ່າ,waː,waː˧
ແມ່ນ,mɛːn,mɛːn˧
ຈາກ,t͡ɕaːk,t͡ɕaːk˧˩
ສະ,sa,sa˧˥
ແລ້ວ,lɛːw,lɛːw˥˨
ແຕ່,tɛː,tɛː˧
ກໍ,kɔː,kɔː
ກັບ,kap,kap˧˥
ມາ,maː,maː˧˥
ຢູ່,juː,juː˧
ເພື່ອ,pʰɯːə̯,pʰɯːə̯˧
ກໍ່,kɔː,kɔː˧
ໄປ,paj,paj
ລິ,li,li˧
ໃຊ້,saj,saj˥˨
ທີ,tʰiː,tʰiː˧˥
ຈີນ,t͡ɕiːn,t͡ɕiːn
ຄື,kʰɯː,kʰɯː˧˥
ຄຳ,kʰam,kʰam˧˥
ຄວາມ,kʰwaːm,kʰwaːm˧˥
ຢ່າງ,jaːŋ,jaːŋ˧
ບໍ່,bɔː,bɔː˧
ເຮົາ,hao,hao˧˥
ຕໍ່,tɔː,tɔː˧
ເຫັນ,hen,hen˩˧
ເມືອງ,mɯːə̯ŋ,mɯːə̯ŋ˧˥
ຕາມ,taːm,taːm
ປະເທດ,patʰeːt,pa˧˥tʰeːt˥˨
ເມື່ອ,mɯːə̯,mɯːə̯˧
ຕ້ອງ,tɔːŋtɛːŋ,tɔːŋ˧tɛːŋ˧
ມັນ,man,man˧˥
ແຂວງ,kʰwɛːŋ,kʰwɛːŋ˩˧
ກັນ,kan,kan
ຍັງ,ɲaŋ,ɲaŋ˧˥
ກຳ,kam,kam
ເຊິ່ງ,sɔːŋ,sɔːŋ˥˨
ອີກ,iːk,iːk˧˩
