orth,pron_no_tones
យ៉ើ,yaə
សយ,sɑɑy
ស្ថាពរ,stʰaapɔɔ
ចង្កោម,cɑŋkaom
បំពក់,bɑmpʊək
សម្ងាត់,sɑmŋat
ម៉ោងជាង,maoŋcieŋ
នភាកាស,neaʔpʰiekaah
ស្តរា,staaraa
។,.
ទប់,tup
ដែក,daek
ម្សៅ,msav
បរិបូរណ៍,bɑɑreʔboo
លុង,luŋ
គាំង,keaŋ
ក្រញុះ,krɑɲoh
ស្រទប,srɑtɔɔp
អំពៅ,ʔɑmpɨv
អង្កត់,ʔɑŋkɑt
លក្ខ,leakkʰaʔ
បង្ក,bɑŋkɑɑ
មុទិតា,muʔtiʔtaa
ព្រឹទ្ធសភា,prɨtsaʔpʰie
អគតិ,ʔaʔkeaʔteʔ
ពុត,put
មេក្រមី,mee krɑməy
ហ្វូង,fooŋ
គេហជន,keehaʔcʊən
ពុង,puŋ
កំហិត,kɑmhət
ញ៉ាំ ,ɲam
ល្មម,lmɔɔm
មិច្ឆាចារ,mɨccʰaacaa
ភាព,pʰiep
ផុយ,pʰoy
អសប្បុរស,ʔaʔsɑpboʔrɑh
ត្រកួន,trɑkuən
ខ្លាច,klaac
ហោជាង,hao cieŋ
រល,rɔɔl
សន្ធរ,sɑntʰɔɔ
ដេញ,dəɲ
ខ្សាន,ksaan
ដៀមដាម,diəm daam
នរនាថ,neaʔreaʔniet
បោរ,bao
ស្មន់,smɑn
ទន្ទ្រាន,tʊəntrien
ពិសេស,piʔsaeh
ពោប,poop
ជៀស,ciəh
លក្ខខណ្ឌ,leakkʰan
កម្ម,kam
ចតុ,caʔtoʔ
មោទនភាព,mooteaʔneaʔpʰiep
ថ្នេរ,tʰeɛ
យម,yeaʔmeaʔ
ស្លឹកគ្រៃ,slǝk krey
ឆ្កុយ,ckoy
ទន្សា,tʊənsaa
រមាំង,rɔmeaŋ
ចត្វា,catvaa
មេស,mee sɑɑ
ក្រាល់,kral
នុំ,num
ពុំងា,pumŋie
រ៉ី,rəy
រោគ,rook
អនត្តា,ʔaʔnattaa
អាខ្យាត,ʔaakyaat
រឿង,rɨəŋ
ក្រមិចក្រមើម,krɑməc-krɑmaəm
ចំរូងចំរាស,cɑmrooŋ-cɑmraah
គីត,kiitaʔ
មហាសេដ្ឋី,meaʔhaaseɛtʰəy
វាត់,voat
រំលូត,rumluut
សូរ្យ,sooryaʔ
ទាក់ទិន,teak tɨn
ក្អាត់,kʔat
មហាតថៃ,mɔhaat tʰay
ជួស,cuəh
តម្រូវ,tɑmrəv
អង,ʔɑɑŋ
បណ្ណារក្ស,bannaareak
គន្ធ័ព្វ,kʊəntʰoap
ប្រកួត,prɑkuət
ឃ្មត់,kmʊət
លេញ,lǝɲ
អត្ត,ʔattaʔ
កំហែង,kɑmhaeŋ
ស្កក,skɑɑk
លន់តួ,lʊən tuə
រយាល,rɔyiel
យថាហេតុ,yeaʔtʰaahaet
ចំពាក់,cɑmpeak
ច្រឹប,crəp
ម្នាង,mnieŋ
ត្រយង់,trɑyɑŋ
ខែ,kʰae
មូស,muuh
អំនួត,ʔɑmnuǝt
ប៉ាវគង,paav kɔɔŋ
បាសក,baasɑk
មនោរថ,meaʔnoorʊət
បូណ៌មី,booraʔməy
មួន,muən
គោរព,koorup
ឧក,ʔok
ប្រួល,pruəl
ឈើ,cʰəə
រាគ,riek
ឆ្នែង,cnaeŋ
រង្គោះ,rʊəŋkʊəh
ចម្រូងចម្រាស,cɑmrooŋ-cɑmraah
ហិត,hǝt
រ៉ាដា,raadaa
ប្របេះ,prɑbeh
ទោរ,too
យាគូ,yiekuu
លុប,lup
ចំអក,cɑmʔɑɑk
ពិភេក,piʔpʰeek
ដំបែ,dɑmbae
ក្រិត្យ,krət
ទេវតា,teeveaʔdaa
របើរ,rɔbaə
បណ្ដុះ,bɑndoh
ច្រឡូក,crɑlook
កាំភ្លោះ,kamplʊəh
ត្រៀម,triəm
ជន្មា,ceaʔneaʔmie
ទាយាទ,tieyiet
ប្រាប,praap
ប្រទាស់,prɑtoah
ការិយាធិបតេយ្យ,kaareʔyaatʰiʔpaʔtay
បំពុល,bɑmpul
ក្រា,kraa
មិថុនា,mitʰoʔnaa
ល្វត,lvɔɔt
រាម,riem
ប្រតិ,prɑteʔ-
ឧបទ្រព,ʔuʔpaʔtrup
ពិសា,piʔsaa
នព្វ,nup
ពងបែក,pɔɔŋ baek
រណោង,rɔnaoŋ
សោភ័ណ,saopʰoan
ថ្លែង,tlaeŋ
កក់ក្ដៅ,kɑk kdav
ឧតុ,ʔuʔtoʔ
កន្តុប,kɑntop
សុខោទ័យ,soʔkʰaotey
ស្វាក់,svak
ផ្កាប់,pkap
ប៉ូវ,pəv
ផាយ,pʰaay
ញញើត,ɲɔɲəət
សមណគោតម,saʔmaʔnaʔkootaʔmaʔ
សូវ,sǝv
បាមោក្ខ,paamaok
ភាពយន្ត,pʰiepyʊən
ឆ្មក់,cmɑk
ក្ដោប,kdaop
មេជី,mee cii
ក្សេត្រ,kseɛt
និរតី,niʔreaʔdəy
អន្តរ,ʔɑntaʔraʔ
ពិណ,pɨn
ខ្ទម,ktɔɔm
ល្បី,lbǝy
តេជ,daec
អម្រឹត,ʔɑmrɨt
ព្រើល,prəəl
កន្ទក់កន្ទេញ,kɑntʊək-kɑntɨɲ
គ្នាន់,knoan
បន្លប់,bɑnlɑp
ព្រះចន្ទ្រ,preah can
ចង្កូម,cɑŋkoom
ដង្គត់,dɑŋkʊət
ឧបទ្ទវ,ʔuʔpatteaʔveaʔ
សូន,soon
រួយ,ruəy
សុទ្ធិ,sottʰiʔ
ថ្លាន់,tlan
សិង្ហ,səŋ
ជូន,cuun
កុរ,kao
រួបរួម,ruəp-ruəm
ឱត្តប្ប,ʔaottappaʔ
អាថ៌,ʔaa
ហន់,han
ភក់,pʰʊək
តាំង,taŋ
រមណីយ,reaʔmeaʔniiyeaʔ
យាំង,yeaŋ
អត្តនោម័តិ,ʔattaʔnaomat
ប្រជ្រៀត,prɑcriət
ផគ្គុណ,pʰakkun
ប៉ង,pɑɑŋ
នីឡុង,niiloŋ
ពុទ្ធសករាជ,puttʰeaʔsaʔkaʔraac
ព្រាយ,priey
អនន្ត,ʔaʔnɑn
មេត្រី,meetrəy
ល្ហឹម,lhǝm
ច្បាប់,cbap
ប្រិតប្រៀន,prət priən
ប្រាក់,prak
វដ្ដ,voatdaʔ
ឧបសគ្គ,ʔuʔpaʔsak
គុយ,kuy
ខ្លាំង,klaŋ
និព្វាន,nippien
ត្រសុំ,trɑsom
កំប៉ោង,kɑmpaoŋ
ឈ្នាន់,cnoan
ជាត,ciet
កិរិយា,keʔriʔyaa
ឆាន់,cʰan
ចីពរ,cəypɔɔ
រស់,rʊəh
ពោងពាយ,pooŋ piey
ខាំ,kʰam
នគរ,nɔkɔɔ
រប៉ាត់រប៉ាយ,rɔpat-rɔpaay
ឆ្នោត,cnaot
មាឃ,miek
បន្លា,bɑnlaa
និមិត,niʔmit
ទាម,tiem
រាលដាល,riel daal
សុណិសា,soʔneʔsaa
អស់,ʔɑh
ព្រិល,prɨl
វក់,vʊək
និរាករណ៍,niʔriekɑɑ
សម្រេក,sɑmreɛk
ចេតនា,ceɛtaʔnaa
គ្រហស្ថ,krɔhoah
សំទុះ,sɑmtuh
ឃុន,kʰun
ជោតិ,coot
កញ្ជះ,kɑɲceah
ឧបរាជ,ʔuʔpaʔraac
ដំណក់,dɑmnɑk
ក្រឡាស់,krɑlah
អ្ហា,ʔhaa
អារាធនា,ʔaaraatʰeaʔnie
អាវាស,ʔaavaah
ទទ័រ,tɔtoa
ផលិតករ,pʰɑllɨttaʔkɑɑ
ឆ្ពិន,cpɨn
ដឺ,dəə
នាវិក,nievɨk
លៀស,liǝh
ត្របាញ់,trɑbaɲ
អប្ប,ʔappaʔ
វែក,vɛɛk
ដំបូក,dɑmbook
ហុត,hot
ប៉ែតសិប,paet səp
បំបង់,bɑmbɑŋ
ត្រួស,truəh
ម្រ័ក្សណ៍,mreak
ឃោរឃៅ,kʰoo-kʰɨv
អាសនៈ,ʔaasaʔnaʔ
តក្កវិជ្ជា,takkaʔvɨccie
រដ្ឋធម្មនុញ្ញ,roattʰaʔtʰoameaʔnuɲ
គហបតី,keaʔhaʔpaʔdəy
រៀបរៀង,riəp-riəŋ
ស្លែង,slaeŋ
ជញ្ជាត់,cʊəɲcoat
ស្បូវ,sbǝv
អៀន,ʔiǝn
ស្រស,srɑɑh
យោង,yooŋ
បំភ័យ,bɑmpʰey
នេន,neen
ប៉ប៉ោច,pɑpaoc
ដៀវ,diəv
ខ្សត់,ksɑt
ភេសជ្ជៈ,pʰeehsacceaʔ
ប្រមឹក,prɑmək
ត្បុត,tbot
នីតិកម្ម,niiteʔkam
ស្ថានសួគ៌,stʰaansuǝ
ខុន,kʰon
ការបរទេស,kaabɑɑraʔteeh
ញត្តិ,ɲat
បេសកជន,peɛsaʔkaʔcʊən
ល្បក់,lbɑk
កណ្ដឹង,kɑndəŋ
ទុគ្គត,tukkʊət
ឈឺ,cʰɨɨ
រពីង,rɔpiiŋ
មុសា,muʔsaa
លក,lɔɔk
ស្មោះសរ,smɑh sɑɑ
ចរណៃ,cɑɑreaʔnay
ស្មាន,smaan
រលុង,rɔluŋ
ខិល,kʰəl
រលូង,rɔluuŋ
ប្រពាយ,prɑpiey
ប្រេង,preɛŋ
ស្លប,slaap
រងចាំ,rɔɔŋ cam
អង្គារ,ʔɑŋkie
គន្ធរស,koantʰeaʔrʊəh
រហាក់,rɔhak
មេសា,meesaa
សួ,suǝ
សុគ្រីព,soʔkriip
ឆែក,cʰaek
ចំរៀក,cɑmriək
សំណាង,sɑmnaaŋ
សរីរៈ,saʔrəyraʔ
រលើង,rɔləəŋ
តារា,taaraa
គឃរ,kɔkʰɔɔ
សោក,saok
ខ្មីឃ្មាត,kməy-kmiet
ព្រួច,pruəc
ជង់,cʊəŋ
តិលក,teʔlaʔkaʔ
ឧបាទាន,ʔuʔpaatien
និកាយ,niʔkaay
កាយ,kaay
រតនា,reaʔtaʔnaa
ឆ្អឹង,cʔəŋ
ចង្អុលខ្មោច,cɑŋʔol kmaoc
ហួង,huǝŋ
ក្រចាប់,krɑcap
ហូរហៀរ,hoo-hiǝ
ដន្លង,dɑnlɑɑŋ
បញ្ឆិត,bɑɲcət
ការពិត,kaapit
សោតា,saotaa
អាវុសោ,ʔaavuʔsao
ខួ,kʰuə
ក្រចក,krɑcɑɑk
សំណៅ,sɑmnav
អាករ,ʔaakɑɑ
ជំរុញ,cumruɲ
នយោបាយ,nɔyoobaay
ក្អេងក្អាង,kʔeɛŋ-kʔaaŋ
ប្រេត,praet
វត្ត,voat
ផ្ទុះ,ptuh
ព្រះពុទ្ធ,preah put
យានដ្ឋាន,yienaʔtʰaan
ប្រថាន,prɑtʰaan
រោទ៍,roo
ខ្ជឹប,kcɨp
សាសនា,saasnaa
ម៉ានីល,maanil
ដួល,duəl
តឿ,tɨə
សង្កិន,sɑŋkən
ក្រែល,krael
សត្រា,sattraa
បន្លំ,bɑnlɑm
កន្តែរ៉ែ,kɑntae rae
រលួស,rɔluəh
ជូត,cuut
ប៉ិត,pət
វិទ្ធង្សនា,vittʰeaŋsaʔnaa
មហាក្សត្រ,meaʔhaaksat
ត្របាក់,trɑbak
ស្ការ,skaa
សំដែង,sɑmdaəŋ
អយុត្តិធម៌,ʔaʔyutteʔtʰoa
តិថី,teʔtʰəy
មមែ,mɔmɛɛ
វិញ,vɨɲ
ផលិតកម្ម,pʰɑllɨttaʔkam
ស្ដ,sdɑɑ
សោយ,saoy
ល្បក,lbɑɑk
ប្រកាសនីយ,prɑkaasaʔnii
ខ្វោកខ្វាក,kvaok-kvaak
ចំប្រប់,cɑmprɑp
ទ្រុប,trup
សន្សឹម,sɑnsǝm
អចល,ʔaʔcaʔlaʔ
ការុង,kaaroŋ
ទន្លា,tʊənlie
បង្កង,bɑŋkɑɑŋ
ស្រឡេត,srɑleɛt
ទំនុក,tumnuk
ទូ,tuu
នរបតី,neaʔreaʔpaʔdəy
ជីវៈ,ciiveaʔ
ម៉ៅ,mav
ល្ហក់,lhɑk
ជ្រហម,crɔhɔɔm
ចប,cɑɑp
រវែង,rɔvɛɛŋ
អាកាស,ʔaakaah
គគ្រឹម,kɔkrɨm
រសាប់រសល់,rɔsap-rɔsɑl
ចំ,cɑm
ព្រឹម ៗ,prɨm-prɨm
ថ្កុំថ្កើង,tkom-tkaəŋ
ងូត,ŋuut
តោះតើយ,tɑh-taəy
រាង,rieŋ
ផៃ,pʰay
មោង,mooŋ
ពុទ្ធទំនាយ,puttumniey
តាន់តាប់,tan-tap
យុគ,yuk
ប្រោះព្រំ,prɑh-prum
ទុរ្ភិក្ស,tuʔrəpʰik
សន្តាន,sɑndaan
ធ្លាប់,tloap
អនេកប្បការ,ʔaʔnaekpaʔkaa
បុរាណវត្ថុ,boʔraanvoattʰoʔ
សមាទាន,saʔmaatien
បសុព្យាបាល,paʔsoʔpyiebaal
មច្ឆា,maccʰaa
ឯកច្ឆន្ទ,ʔaekaccʰan
តា,taa
ជ្រង,crɔɔŋ
ទាយ,tiey
លំដាប់,lumdap
ធាន,tʰien
ក្រហាយ,krɑhaay
លែ,lɛɛ
បង្ខូច,bɑŋkʰooc
ខ្ញាំ,kɲam
សង់,sɑŋ
សម្លាញ់,sɑmlaɲ
ហិកតា,hǝktaa
ពង្រីក,pʊəŋriik
ជ្រក,crɔɔk
ឈ្លើយ,cləəy
ប្រចៀវ,prɑciəv
សម្ពោធ,sɑmpoot
គណៈកម្មាធិការ,keaʔnaʔkammaatʰiʔkaa
នទី,neaʔtii
ជល,cʊəl
រាងចាល,rieŋ caal
រង្វះ,rʊəŋveah
រុះ,ruh
ឈូង,cʰuuŋ
ម្សេវ,mseɛv
ឃាង,kʰieŋ
ត្រូល,trool
តើ,taə
ម្ដង,mdɑɑŋ
អន្ទោក,ʔɑntook
នាម៉ឺន,nieməən
វិជ្ឈមាត្រ,vɨccʰeaʔmiet
វើក,vəək
អគ្គលេខាធិការ,ʔakkeaʔleekʰaatʰiʔkaa
ត្រីមាស,trəy mieh
ចង្គ្រាង,cɑŋkrieŋ
ធម្មលិខិត,tʰoammeaʔliʔkʰet
លៃ,ley
សួគ៌,suǝ
សិរមាន់,seɛ moan
សន្ធឹង,sɑntʰɨŋ
សោម,saom
ដង្ហោយ,dɑŋhaoy
ភេរវកម្ម,pʰeereaʔveaʔkam
តោក,taok
វិជ្ជា,vɨccie
គ្រើល,krəəl
សព,sɑp
ពួក,puək
សិវៈ,seʔvaʔ
ផ្តួច,pduəc
គិរី,kiʔrii
និទ្រា,nittrie
កាវ,kaav
ភ្លឺ,plɨɨ
ចិន្តា,cendaa
សួត,suǝt
ស្រស់បស់,srɑh-bɑh
ប៉ោ,pao
ត្រងោល,trɑŋaol
ផ្ចុក,pcok
ឯកជន,ʔaekaʔcɔǝn
បន់,bɑn
វិទ្យុជាតិ,vittyuʔciet
មមាច,mɔmiec
ពលរដ្ឋ,pʊəlləroat
សេនា,seɛnaa
ជោគ,cook
លិញ,lɨɲ
ដង្គុំ,dɑŋkum
កាឡា,kaalaa
ថើប,tʰaəp
ពិសាល,piʔsaal
កាព្យ,kaap
រឹងរឹត,rɨŋ-rɨt
ត្រិះរិះ,treh rih
ទណ្ឌិត,toandɨt
សែល,sael
ចំនួន,cɑmnuən
ធុញ,tʰuɲ
ស៊ុន,sun
អរហំ,ʔaʔraʔhaŋ
វិទ្យុសកម្ម,vi ttyuʔsaʔkam
អ៊ីស្រាអែល,ʔiisraaʔaɛl
សញ្ចរ,saɲcɑɑ
រត្តិចរ,roatteʔcɑɑ
ចួន,cuən
ក្បាក់,kbak
ចិត,cət
ឈ្មោល,cmool
ននះ,nɔneah
បល្លង្ក,pallaŋ
មែនមាន,mɛɛn mien
តតិយជន,taʔteyyeaʔcʊən
បំណះ,bɑmnah
ស្អិតស្អាង,sʔǝt-sʔaaŋ
និវេសន៍,niʔveeh
ព័ត,poat
ក្រាស់,krah
សម្មាសម្ពុទ្ធ,sammaasamput
ធីង,tʰiiŋ
យន្ត,yʊən
អញ្ញត្រសព្ទ,ʔaɲɲattraʔsap
លស់,lɔǝh
បង,bɑɑŋ
របើក,rɔbaək
គង្គ,kʊəŋkeaʔ
បំផ្លិច,bɑmpləc
វិភង្គ,viʔpʰeaŋkeaʔ
ល្បែង,baeŋ
ល្វា,lvie
អុំ,ʔom
អាល,ʔaal
ពោធិសម្ភារ,poosɑmpʰie
លន,lɔɔn
ភវនីយភាព,pʰeaʔveaʔniiyeaʔpʰiep
ទាល,tiel
ក្រវាញ,krɑvaaɲ
គុម្ព,kum
បណ្ណាល័យ,bannaalay
ព្រលាំ,prɔloam
អភេទ,ʔaʔpʰeet
ជឿន,cɨən
ក្រៀក,kriək
ច្បូក,cbook
វិបរិត,viʔpaʔrǝt
អាបត្តិ,ʔaabat
សម្រាប់,sɑmrap
រន,rɔɔn
បញ្ឈរ,bɑɲcʰɔɔ
អគ្គមហេសី,ʔakkeaʔmɔheesǝy
បង្អាក់,bɑŋʔak
សុដន់,soʔdɑn
វាំង,veaŋ
ចំហុយ,cɑmhoy
ស្យា,syaa
សុបិន,soʔbən
ស្លាប់,slap
អញ្ចាញ,ʔɑɲcaaɲ
ខ្ទើត,ktəət
ស្បាន់,sban
ភាតរ,pʰietaʔraʔ
កីឡា,kəylaa
វចន,veaʔcaʔnaʔ
ច្រង់,crɑŋ
ត្បែង,tbaeŋ
រងា,rɔŋie
ពិចិត្រ,piʔcət
ល្អល្អះ,lʔɑɑ-lʔah
សន្លប់,sɑnlɑp
ស្អាតបាត,sʔaat-baat
បត់,bɑt
ពិស្ណុ,pɨhsnuʔ
ប្រវេសន៍,prɑveɛh
តាក់ស៊ី,taksii
ព័ទ្ធ,poat
ស្រដី,srɑdǝy
ហីនយាន,hǝyneaʔyien
រអុច,rɔʔoc
ប្រមោយ,prɑmaoy
ពិធី,piʔtʰii
បញ្ញា,paɲɲaa
ធុន,tʰun
បន្ទាប,bɑntiep
សត្យា,sattyaa
បញ្ឆេះ,bɑɲcʰeh
ណែន,naen
ក្រឹត្យ,krət
បដិភាគ,paʔdeʔpʰiek
វិស្សកម្ម,vihsaʔkam
ថង,tʰɑɑŋ
ប៉ាត់,pat
យស,yʊəh
ជាង,cieŋ
សម្បទាន,sampaʔtien
