orth,pron_no_tones,pron_with_tones
ມຶງ,mɯŋ,mɯŋ˧˥
ສະມະນະ,samana,sa˧˥ma˧na˧
ການຝຶກຫັດ,kaːnfɯkhat,kaːnfɯk˧˥hat˧˥
ວຽງຈັນ,wiaːŋt͡ɕan,wiaːŋ˧˥t͡ɕan
ວິເສດ,wiseːt,wi˧seːt˧˩
ຕົວແມ່,tuaːmɛː,tuaːmɛː˧
ສຸພາບ,supʰaːp,su˧˥pʰaːp˥˨
ອຸ່ມໆ,umum,um˧um˧
ຜູ້ອອກແບບ,pʰuːɔːkbɛːp,pʰuː˧˩ɔːk˧˩bɛːp˧˩
ຢູ່ນຳ,juːnam,juː˧nam˧˥
ດາກ,daːk,daːk˧˩
ຊັກ,sak,sak˧
ລຸນ,lun,lun˧˥
ແກ່ແດ່,kɛːdɛː,kɛː˧dɛː˧
ໂຮນລັງ,hoːnlaŋ,hoːn˧˥laŋ˧˥
ຕັບໄກ່,tapkaj,tap˧˥kaj˧
ບໍ່ຮ້ອນ,bɔːhɔːn,bɔː˧hɔːn˥˨
ຂວັນ,kʰwaːn,kʰwaːn˩˧
ທຳນຽບ,tʰamniaːp,tʰam˧˥niaːp˥˨
ຫມູ,muː,muː˩˧
ເຫນັງ,neŋ,neŋ˩˧
ລິວ,liw,liw˧˥
ຊົນນະບົດ,sonnabot,son˧˥na˧bot˧˥
ສຸພາສິດ,supʰaːsit,su˧˥pʰaː˧˥sit˧˥
ຄາທີ່,kʰaːtʰiː,kʰaːtʰiː˧˥
ລ້ຽນ,liaːn,liaːn˥˨
ແຄງ,kʰɛːŋ,kʰɛːŋ˧˥
ຫັຖ,huaːthaj,huaːt˧˩haj˧
ສິນສອດ,sinsɔːt,sin˩˧sɔːt˧˩
ທຳນອງ,tʰamnɔːŋ,tʰam˧˥nɔːŋ˧˥
ເຖົ້າ,tʰao,tʰao˧˩
ນິຣະໂທດ,niratʰoːt,ni˧ra˧tʰoːt˥˨
ທາງແມ່ນ,tʰaːŋmɛːn,tʰaːŋ˧˥mɛːn˧
ສະມາ,samaː,sa˧˥maː˧˥
ແປ້ນ,pɛːn,pɛːn˥˨
ໂອມ,oːm,oːm
ນິ້ມ,nim,nim˥˨
ນ້ຳເຕົ້າ,namtao,nam˥˨tao˥˨
ທົງ,tʰoŋ,tʰoŋ˧˥
ໄວ້ຫນ້າ,wajnaː,waj˥˨naː˧˩
ດັຊນີ,duaːŋ,duaːŋ˥˨
ສະຖານີ,satʰaːniː,sa˧˥tʰaː˩˧niː˧˥
ສຸຂຸມ,sukʰum,su˧˥kʰum˩˧
ອັນຍະມະນີ,anɲamaniː,anɲa˧ma˧niː˧˥
ຄັບ,kʰap,kʰap˧
ຄອນ,kʰɔːn,kʰɔːn˧˥
ເຂກ,kʰeːk,kʰeːk˧˩
ຫິວ,hiw,hiw˩˧
ຝຶດ,fɯːt,fɯːt˧˩
ຫລຸບ,lup,lup˧˥
ກູ້,kuː,kuː˥˨
ອອກຮັບ,ɔːkhap,ɔːk˧˩hap˧
ນັກ,nak,nak˧
ໄຊຍະບູຣີ,sajɲabuːriː,saj˧˥ɲa˧buːriː˧˥
ແດກ,dɛːk,dɛːk˧˩
ເສົ້າ,sao,sao˧˩
ແມ່ສີ,mɛːsiː,mɛː˧siː˩˧
ບຳບັດ,bambat,bambat˧˥
ເກືອກ,kɯːə̯k,kɯːə̯k˧˩
ດ້າມ,daːm,daːm˥˨
ກຽດ,kiaːt,kiaːt˧˩
ຄືນ,kʰɯːn,kʰɯːn˧˥
ວາງແຜນການ,waːŋpʰɛːnkaːn,waːŋ˧˥pʰɛːn˩˧kaːn
ລວບ,luaːp,luaːp˥˨
ເຜົາ,pʰao,pʰao˩˧
ຊຳເລົາ,samlao,sam˧˥lao˧˥
ຜູ້ຮັ່ງມີ,pʰuːhaŋmiː,pʰuː˧˩haŋ˧miː˧˥
ການຊັກຊວນ,kaːnsaksuaːn,kaːnsak˧suaːn˧˥
ການນັ່ງ,kaːnnaŋ,kaːnnaŋ˧
ຄ້ອນ,kʰɔːn,kʰɔːn˥˨
ປະດົນ,padon,pa˧˥don
ສຸລີ,suliː,su˧˥liː˧˥
ແຊວໆ,sɛːwsɛːw,sɛːw˧˥sɛːw˧˥
ແຫວກແນວ,wɛːknɛːw,wɛːk˧˩nɛːw˧˥
ເຖິງຂນາດ,tʰəŋkʰanaːt,tʰəŋ˩˧kʰa˧˥naːt˧˩
ພຣະແມ່,pʰramɛː,pʰra˧mɛː˧
ສນາມ,sanaːm,sa˧˥naːm˩˧
ທຸຕິຍະ,tʰutiɲa,tʰu˧ti˩˧ɲa˧
ຍັນ,ɲan,ɲan˧˥
ຄາງ,kʰaːŋ,kʰaːŋ˧˥
ໄຮ້,haj,haj˥˨
ເຕືອກ,tɯːə̯k,tɯːə̯k˧˩
ສູ,suː,suː˩˧
ເລ່,leːlaŋ,leː˧˥laŋ˩˧
ພັນຕາ,pʰantaː,pʰan˧˥taː
ບໍຣິໂພກ,bɔːripʰoːk,bɔːri˧pʰoːk˥˨
ອັນຫລັງ,anlaŋ,anlaŋ˩˧
ສຸຣິຍະ,suriɲa,su˧˥ri˧ɲa˧
ຢ່າງເຂົ້າ,jaːŋkʰao,jaːŋ˧kʰao˧˩
ສົ່ງເສັຽ,soŋsiaː,soŋ˧siaː˩˧
ຖອນ,tʰɔːn,tʰɔːn˩˧
ຄວາມເປັນໃຫຍ່,kʰwaːmpenɲaj,kʰwaːm˧˥penɲaj˧
ອັດອັ້ນ,atan,at˧˥an˥˨
ມ້ວນ,muaːn,muaːn˥˨
ຣິດ,rit,rit˧
ກາງ,kaːŋ,kaːŋ
ແພ,pʰɛː,pʰɛː˧˥
ທວນລົມ,tʰuaːnlom,tʰuaːn˧˥lom˧˥
ບໍ່ຍົກເວັ້ນ,bɔːɲokwen,bɔː˧ɲok˧wen˥˨
ການແອບ,kaːnɛːp,kaːnɛːp˧˩
ຣາຊີ,raːsiː,raː˧˥siː˧˥
ກຸມານ,kumaːn,ku˧˥maːn˧˥
ອາຍຸ,aːɲu,aːɲu˧
ຊາຕິ,saːti,saː˧˥ti˧˥
ຄຸດ,kʰut,kʰut˧
ເງື່ອນໄຂ,ŋɯːə̯nkʰaj,ŋɯːə̯n˧kʰaj˩˧
ໂຊມ,soːm,soːm˧˥
ຊິ,si,si˧
ການເຮືອນ,kaːnhɯːə̯n,kaːnhɯːə̯n˧˥
ຍ້ອນ,ɲɔːn,ɲɔːn˥˨
ກວກ,kuaːk,kuaːk˧˩
ເຕີ້,təː,təː˥˨
ແອບຟັງ,ɛːpfaŋ,ɛːp˧˩faŋ˧˥
ປາກພູໄຟ,paːkpʰuːfaj,paːk˧˩pʰuː˧˥faj˧˥
ໄມ້ເຮັ້ຽ,majhiaː,maj˥˨hiaː˥˨
ຂຶ້ນ,kʰin,kʰin˧˩
ແລ້ວຄວາມ,lɛːwkʰwaːm,lɛːw˥˨kʰwaːm˧˥
ເຕັນ,ten,ten
ສະອອນ,saɔːn,sa˧˥ɔːn
ຢູ່ຮ່ວມ,juːhuaːm,juː˧huaːm˧
ລັບແລ,laplɛː,lap˧lɛː˧˥
ອັບປັນຍາ,appanɲaː,ap˧˥panɲaː˧˥
ຝັກໄຝ່,fakfaj,fak˧˥faj˧
ຕ່ຳ,tam,tam˧
ກະມັນ,kaman,ka˧˥man˧˥
ອັດຕາ,attaː,at˧˥taː˧˥
ຈຽດ,t͡ɕiaːt,t͡ɕiaːt˧˩
ໄດ້ສ່ວນ,dajsuaːn,daj˥˨suaːn˧
ລະເມີດ,laməːt,la˧məːt˥˨
ຄູດ,kʰuːt,kʰuːt˥˨
ອີດູ,iːduː,iːduː
ນ້ຳມື,nammɯː,nam˥˨mɯː˧˥
ທິພາ,tʰipʰaː,tʰi˧pʰaː˧˥
ບັ້ງໄຟ,baŋfaj,baŋ˥˨faj˧˥
ຄ້າ,kʰaː,kʰaː˥˨
ທົ່ງ,tʰoŋ,tʰoŋ˧
ສາມຫາງ,saːmhaːŋ,saːm˩˧haːŋ˩˧
ຕັ່ງ,taŋ,taŋ˧
ແຍ້,ɲɛː,ɲɛː˥˨
ຕົກອົກຕົກໃຈ,tokoktokt͡ɕaj,tok˧˥ok˧˥tok˧˥t͡ɕaj
ອຸ,u,u˧˥
ແຕ່ວ່າ,tɛːwa,tɛː˧wa˧
ສຸບ,sup,sup˧˥
ປົມ,pom,pom
ແມວ,mɛːw,mɛːw˧˥
ຂວດ,kʰuaːt,kʰuaːt˧˩
ເອົາແບບຢ່າງ,apbɛːpjaːŋ,apbɛːp˧˩jaːŋ˧
ລົ້ນ,lon,lon˥˨
ສະມະ,sama,sa˧˥ma˧
ຄິດບໍ່ອອກ,kʰitbɔːɔːk,kʰit˧bɔː˧ɔːk˧˩
ສັງເວດ,saŋweːt,saŋ˩˧weːt˥˨
ສລອງ,salɔːŋ,sa˧˥lɔːŋ˩˧
ກວ່າ,kwaː,kwaː˧
ຫາໃຫ້,haːhaj,haː˩˧haj˧˩
ອະພິຊາດ,apʰisaːt,a˧˥pʰi˧saːt˥˨
ຜູກຂາດ,pʰuːkkʰaːt,pʰuːk˧˩kʰaːt˧˩
ເປັຽ,piaː,piaː
ຂ້ອນແຈ້ງ,kʰɔːnt͡ɕɛːŋ,kʰɔːn˧˩t͡ɕɛːŋ˥˨
ຕົກເປັນເງິນ,tokpenŋən,tok˧˥penŋən˧˥
ຫມໍ້ໄຟຟ້າ,mɔːfajfaː,mɔː˧˩faj˧˥faː˥˨
ກໍ່ມິດ,kɔːmit,kɔː˧mit˧
ມະເສັງ,maseŋ,ma˧seŋ˩˧
ຣາຊ,raːt,raːt˥˨
ຍັບ,ɲap,ɲap˧
ຈົງ,t͡ɕoŋ,t͡ɕoŋ
ເບີກ,bɔːkpuːn,bɔːk˧˩puːn
ສົນ,son,son˩˧
ໃຫ້ຄຸນ,hajkʰun,haj˧˩kʰun˧˥
ຍອດ,ɲɔːt,ɲɔːt˥˨
ອອກກຳລັງ,ɔːkkamlaŋ,ɔːk˧˩kamlaŋ˧˥
ສະອາງ,saaːŋ,sa˧˥aːŋ
ບຸກຄະລິກພາບ,bukkʰalikpʰaːp,buk˧˥kʰa˧lik˧pʰaːp˥˨
ບໍ່ຮັບຮູ້,bɔːhaphuː,bɔː˧hap˧huː˥˨
ຖູ,tʰuː,tʰuː˩˧
ທຸ່ນ,tʰun,tʰun˧
ນາຍົກ,naːɲok,naː˧˥ɲok˧
ສິນ,sin,sin˩˧
ຢ່າງງຽບໆ,jaːŋŋiaːpŋiaːp,jaːŋ˧ŋiaːp˥˨ŋiaːp˥˨
ຟັງ,faŋ,faŋ˧˥
ອັນສົມຄວນ,ansomkʰuaːn,ansom˩˧kʰuaːn˧˥
ເຟີ້,fəː,fəː˥˨
ການຫລິ້ນ,kaːnlin,kaːnlin˧˩
ບໍ່ຈຳກັດ,bɔːt͡ɕamkat,bɔː˧t͡ɕamkat˧˥
ສີ້ນ,sin,sin˧˩
ຢັ້ງ,jaŋ,jaŋ˥˨
ໃຝ່,faj,faj˧
ແຕກຕື່ນ,tɛːktɯːn,tɛːk˧˩tɯːn˧
ໂຈ,t͡ɕoː,t͡ɕoː
ຕັດ,tat,tat˧˥
ໂອ້ນເອ້ນ,oːneːn,oːn˥˨eːn˥˨
ໄຄ້,kʰaj,kʰaj˥˨
ຈຶ້ງ,t͡ɕɯŋ,t͡ɕɯŋ˥˨
ອິນຊີ,insiː,insiː˧˥
ຍຸດທະ,ɲuttʰa,ɲut˧tʰa˧
ອ້ວນ,uaːn,uaːn˥˨
ຫຸ້ນ,hun,hun˧˩
ມີຊີວິດ,miːsiːwit,miː˧˥siː˧˥wit˧
ອໍຣະ,ɔːra,ɔːra˧
ອິນໂດຈີນ,indoːt͡ɕiːn,indoːt͡ɕiːn
ວິຈິດ,wit͡ɕit,wi˧t͡ɕit˧˥
ເຢັນ,jen,jen
ຫັນໃຈ,hant͡ɕaj,han˩˧t͡ɕaj
ດະ,da,da˧˥
ເຕົ້າ,tao,tao
ໂມຫັນ,moːhan,moː˧˥han˩˧
ຢັກ,jak,jak˧˥
ໃຫ້,haj,haj˧˩
ຫມາ,maː,maː˩˧
ຊິງ,siŋ,siŋ˧˥
ພ້ອມ,pʰɔːm,pʰɔːm˥˨
ເພາະ,pʰɔ,pʰɔ˧
ເກີນ,kəːn,kəːn
ພູສາ,pʰuːsaː,pʰuː˧˥saː˩˧
ພໍໄປເຖິງ,pʰɔːpajtʰəŋ,pʰɔː˧˥pajtʰəŋ˩˧
ສ່ວນປະສົມ,suaːnpasom,suaːn˧pa˧˥som˩˧
ສະເພາະ,sapʰɔo,sa˧˥pʰɔo˧
ຜົມ,pʰom,pʰom˩˧
ມາດຕະຖານ,maːttatʰaːn,maːt˥˨ta˧˥tʰaːn˩˧
ໃນທັນທີ,najtʰantʰiː,naj˧˥tʰan˧˥tʰiː˧˥
ກະຍ່າ,kaɲaː,ka˧˥ɲaː˧
ກົ້ມ,kom,kom˥˨
ຕິດຕັ້ງ,tittaŋ,tit˧˥taŋ˥˨
ຖໍ່,tʰɔː,tʰɔː˧
ການໄຟຟ້າ,kaːnfajfaː,kaːnfaj˧˥faː˥˨
ປັດຈຸບັນ,patt͡ɕuban,pat˧˥t͡ɕu˧˥ban
ປາຖະ,paːtʰa,paːtʰa˧˥
ເຄື່ອງປະດັບ,kʰɯːə̯ŋpadap,kʰɯːə̯ŋ˧pa˧˥dap˧˥
ພາມ,pʰaːm,pʰaːm˧˥
ແຫລວ,lɛːw,lɛːw˩˧
ຕໍ່ຫນ້າ,tɔːnaː,tɔː˧naː˧˩
ເຫລ່ນ,leːn,leːn˧
ຫັ້ນ,han,han˧˩
ຄຸນພໍ່,kʰunpʰɔː,kʰun˧˥pʰɔː˧
ທ້ອງ,tʰɔːŋ,tʰɔːŋ˥˨
ສັດຊະ,satsa,sat˧˥sa˧
